1st Vote	Moon, Kamilah Aisha 	Politics/Justice, Relationships/Family/Friendship, Social Commentary	https://www.poetryfoundation.org/poems/156377/1st-vote
A Reminiscence	Bronte, Anne	Love	https://www.poetryfoundation.org/poems/43709/a-reminiscence
A Supermarket in California	Ginsberg, Allen 	Food, Philosophy/Abstraction, Social Commentary	https://www.poetryfoundation.org/poems/47660/a-supermarket-in-california
Abracadabra	van de Graaf, Kara	Gender Identity/Gender/Sexuality, Love, Relationships/Family/Friendship, Social Commentary	https://www.poetryfoundation.org/poetrymagazine/poems/161529/abracadabra-65441871d9450
Alive	Sajé, Natasha	Nature/Environment, Philosophy/Abstraction, Social Commentary	https://www.poetryfoundation.org/poetrymagazine/poems/149254/alive
Altitude*	Matthews, Airea D.	Nature/Environment, Philosophy/Abstraction	https://poets.org/poem/altitude-1
Because I could not stop for Death 	Dickinson, Emily 	Grief/Loss, Love, Relationships/Family/Friendship, War/Conflict	https://www.poetryfoundation.org/poems/47652/because-i-could-not-stop-for-death-479
body without the “d”	Amber, Justice	Childhood/Nostalgia, Race/Ethnicity, Gender Identity/Gender/Sexuality	https://www.poetryfoundation.org/poetrymagazine/poems/148110/body-without-the-d
Caged Bird	Angelou, Maya	Nature/Environment, Politics/Justice, War/Conflict, Grief/Loss, Race/Ethnicity, Social Commentary	https://www.poetryfoundation.org/poems/48989/caged-bird
Cape Tenaron	Iliopoulou, Katerina	Nature/Environment, Social Commentary	https://poets.org/poem/cape-tenaron
Cold Dark Corner	Duffy, Blake	Philosophy/Abstraction	https://www.familyfriendpoems.com/poem/cold-dark-corner
Detail of the Fire*	Siken, Richard	Philosophy/Abstraction, War/Conflict	https://readalittlepoetry.com/2024/07/06/detail-of-the-fire-by-richard-siken/
Directions to My Imaginary Childhood	Carbó, Nick	Childhood/Nostalgia, Migration/Displacement, Relationships/Family/Friendship	https://www.poetryfoundation.org/poems/57854/directions-to-my-imaginary-childhood
Domestic Work, 1937	Trethewey, Natasha	Childhood/Nostalgia, Relationships/Family/Friendship, Identity, Religion/Spirituality/Ritual	https://www.loc.gov/programs/poetry-and-literature/poet-laureate/poet-laureate-projects/poetry-180/all-poems/item/poetry-180-025/domestic-work-1937/
Dover Beach 	Arnold, Matthew	Nature/Environment, Philosophy/Abstraction	https://www.poetryfoundation.org/poems/43588/dover-beach
Fairy-Tale Logic	Stallings, A.E.	Social Commentary	https://www.poetryfoundation.org/poetrymagazine/poems/53377/fairy-tale-logic
From “The Gaza Suite”	Miller, Ethelbert	War/Conflict	https://www.poetryfoundation.org/poetrymagazine/poems/1731781/from-the-gaza-suite
Hereafter	Young, Kevin	Nature/Environment, Philosophy/Abstraction, Religion/Spirituality/Ritual	https://www.poetryfoundation.org/poetrymagazine/poems/1690317/hereafter
How to Triumph Like a Girl	Limón, Ava	Gender Identity/Gender/Sexuality, Work/Labor, Social Commentary	https://www.poetryfoundation.org/poems/149814/how-to-triumph-like-a-girl
I Could Be a Whale Shark	Nezhukumatathil, Aimee	Grief/Loss, Love	https://poets.org/poem/i-could-be-whale-shark
I Hate	Williams, C. K.	Grief/Loss	https://www.poetryfoundation.org/poetrymagazine/poems/51986/i-hate
I look at the world	Hughes, Langston	 Social Commentary, Politics/Justice, Race/Ethnicity	https://www.poetryfoundation.org/poetrymagazine/poems/52005/i-look-at-the-world
I Read a Post That Said You Went Peacefully	Simpson, Darius	Grief/Loss, Pop Culture, Religion/Spirituality/Ritual	https://www.poetryfoundation.org/poetrymagazine/poems/1723519/i-read-a-post-that-said-you-went-peacefully
Introduction to Poetry	Collins, Billy	Social Commentary, Childhood/Nostalgia, Relationships/Family/Friendship	https://www.loc.gov/programs/poetry-and-literature/poet-laureate/poet-laureate-projects/poetry-180/all-poems/item/poetry-180-001/introduction-to-poetry/
Karma Affirmation Cistern Don’t Be Afraid Keep Going Toward the Horror	Calvocoressi, Gabrielle 	Childhood/Nostalgia, Philosophy/Abstraction, self, time	https://www.poetryfoundation.org/poetrymagazine/poems/1723449/karma-affirmation-cistern-dont-be-afraid-keep-going-toward-the-horror
L.A. Prayer	Alarcón, Francisco X.	Politics/Justice, War/Conflict	https://www.poetryfoundation.org/poems/58135/la-prayer
Mansplaining	Militello, Jennifer	Gender Identity/Gender/Sexuality, Social Commentary	https://www.poetryfoundation.org/poetrymagazine/poems/147129/mansplaining
Meanwhile	Siken, Richard	Love, Migration/Displacement	https://www.poetryfoundation.org/poems/1578896/meanwhile
Meta	White, Robin G.	Nature/Environment, Relationships/Family/Friendship	https://www.poetryfoundation.org/poetrymagazine/poems/162816/meta
Mountain Dew Commercial Disguised as a Love Poem	Olzmann, Matthew	Love, Relationships/Family/Friendship	https://onbeing.org/poetry/mountain-dew-commercial-disguised-as-a-love-poem/
My Invisible Horse and the Speed of Human Decency	Olzmann, Matthew	Philosophy/Abstraction, Relationships/Family/Friendship, Social Commentary	https://poets.org/poem/my-invisible-horse-and-speed-human-decency
Nevertheless: An Ecstatic Ode	Matthews, Airea D.	Childhood/Nostalgia, Nature/Environment, Philosophy/Abstraction, Relationships/Family/Friendship, Religion/Spirituality/Ritual	https://poets.org/poem/nevertheless-ecstatic-ode
Ode to the Hotel Near the Children’s Hospital	Young, Kevin	Childhood/Nostalgia, Grief/Loss	https://www.poetryfoundation.org/poems/57447/ode-to-the-hotel-near-the-childrens-hospital
Oh Who Is That Young Sinner	Housman, A. E.	Politics/Justice	https://poets.org/poem/oh-who-young-sinner
Only Language Can Hold Us Together	Miller, Ethelbert	Childhood/Nostalgia, Politics/Justice, Race/Ethnicity	https://www.poetryfoundation.org/poetrymagazine/poems/1731765/only-language-can-hold-us-together
Perhaps the World Ends Here	Harjo, Joy	Food, Love, Philosophy/Abstraction, Relationships/Family/Friendship	https://www.poetryfoundation.org/poems/49622/perhaps-the-world-ends-here
Perhaps We Are Our Ancestors’ Wildest Dreams	Simspon, Darius	Politics/Justice, Race/Ethnicity	https://www.poetryfoundation.org/poetrymagazine/poems/154671/perhaps-we-are-our-ancestors-wildest-dreams
Piute Creek	Snyder, Gary	Grief/Loss, Nature/Environment	https://www.poeticous.com/gary-snyder/piute-creek
Planet of Love	Siken, Richard	Love, Performance	https://genius.com/Richard-siken-planet-of-love-annotated
Poem with Human Intelligence	Lopez, J. Estanislao	Nature/Environment, Politics/Justice, Science/STEM, Social Commentary	https://www.poetryfoundation.org/poetrymagazine/poems/160848/poem-with-human-intelligence
Preaching	Robinson, Roger	Grief/Loss, Philosophy/Abstraction, Religion/Spirituality/Ritual	https://www.poetryfoundation.org/poetrymagazine/poems/1710659/preaching
